Gene_stable_ID	Gene_name	Gene_description	Gene_type	Chromosome.scaffold_name	Gene_start_.bp.	Gene_end_.bp.	Strand	Transcript_stable_ID	Transcript_start_.bp.	Transcript_end_.bp.	NCBI_gene_ID	RefSeq_ID	GO_term_name
WBGene00001976	hmg-11	HMG	protein_coding	II	4672798	4673747	+	T05A7.4.1;T05A7.4.2	4673085;4672798	4673747	173805	NM_062424	DNA_binding
WBGene00001977	hmg-12	HMG	protein_coding	II	11916513	11918319	+	Y17G7A.1.1;Y17G7A.1.2	11916513	11917643;11918319	174829	NM_064143	DNA_binding
WBGene00001978	hmp-1	Alpha-catenin-like_protein_hmp-1	protein_coding	V	11845877	11852165	+	R13H4.4a;R13H4.4b;R13H4.4c;R13H4.4d;R13H4.4e;R13H4.4f	11845877;11850823	11852164;11852165;11850794;11849896;11849754	179624	NM_073584;NM_001129519;NM_001276936;NM_001276937;NM_001276938	cell_migration;cytoplasm;regulation_of_protein_localization;actin_filament_binding;cytoskeletal_anchoring_at_plasma_membrane;cell_adhesion;regulation_of_actin_cytoskeleton_organization;embryonic_body_morphogenesis;beta-catenin_binding;catenin_complex;cell_migration_involved_in_gastrulation;cell-cell_adherens_junction;apical_junction_complex;cell_junction;cadherin_binding;multicellular_organism_development;adherens_junction;cell;protein_binding
WBGene00001979	hmp-2	Beta-catenin-like_protein_hmp-2	protein_coding	I	14738882	14742666	+	K05C4.6a.1;K05C4.6a.2;K05C4.6b	14739569;14739003;14738882	14742666	173338	NM_001265497;NM_001265496	protein_kinase_binding;cell_migration;cytoplasm;nucleus;embryo_development_ending_in_birth_or_egg_hatching;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;regulation_of_protein_localization;protein_domain_specific_binding;embryonic_body_morphogenesis;structural_molecule_activity;signal_transducer_activity;protein_phosphatase_binding;negative_regulation_of_cell_division;Wnt_signaling_pathway_involved_in_digestive_tract_morphogenesis;desmosome_assembly;alpha-catenin_binding;catenin_complex;transcription_coactivator_activity;cadherin_binding;cell_migration_involved_in_gastrulation;regulation_of_actin_cytoskeleton_organization_by_cell-cell_adhesion;adherens_junction_assembly;cell-cell_adherens_junction;cell_junction;cell_adhesion;multicellular_organism_development;protein_binding;establishment_of_mitotic_spindle_orientation;left/right_axis_specification;adherens_junction;signal_transduction
WBGene00001980	hmr-1	Cadherin-related_hmr-1	protein_coding	I	11075758	11134667	-	W02B9.1a.1;W02B9.1a.2;W02B9.1b.1;W02B9.1b.2;W02B9.1c.1;W02B9.1c.2;W02B9.1d.1;W02B9.1d.2;W02B9.1e.1;W02B9.1e.2	11075758;11075891;11075761	11094524;11134667;11090298;11087836;11084053	173007	NM_001026478;NM_001264632;NM_001026479;NM_001136322;NM_001264633	?;integral_component_of_membrane;cell_migration;embryo_development_ending_in_birth_or_egg_hatching;calcium_ion_binding;gastrulation;cytoskeletal_anchoring_at_plasma_membrane;homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules;establishment_of_mitotic_spindle_orientation;nervous_system_development;beta-catenin_binding;catenin_complex;cell_migration_involved_in_gastrulation;cell-cell_adherens_junction;apical_constriction_involved_in_gastrulation;delta-catenin_binding;membrane;plasma_membrane;cell_junction;cell_adhesion;multicellular_organism_development;protein_binding;cortical_actin_cytoskeleton_organization;cell_differentiation;adherens_junction;spanning_component_of_plasma_membrane
WBGene00001981	hnd-1	HAND_bHLH_transcription_factor_family	protein_coding	X	11684704	11685778	+	C44C10.8	11684704	11685778	183457	NM_077551	protein_dimerization_activity
WBGene00001983	hoe-1	Ribonuclease_Z	protein_coding	IV	4739262	4744269	-	E04A4.4a;E04A4.4b;E04A4.4c	4739262	4744267;4744269;4741021	177241	NM_001027938;NM_001027939	metal_ion_binding;nucleus;mitochondrion;meiotic_nuclear_division;nematode_larval_development;germ_cell_development;positive_regulation_of_vulval_development;endonuclease_activity;mitochondrial_tRNA_3'-trailer_cleavage,_endonucleolytic;hydrolase_activity;tRNA_processing;nuclease_activity;meiotic_cell_cycle;3'-tRNA_processing_endoribonuclease_activity
WBGene00001985	hop-1	Presenilin_hop-1	protein_coding	I	4208515	4210340	-	C18E3.8	4208515	4210340	172017	NM_058927	gonad_development;perinuclear_region_of_cytoplasm;nucleus;embryo_development_ending_in_birth_or_egg_hatching;calcium_ion_transport;endoplasmic_reticulum_membrane;neuronal_cell_body;Golgi_membrane;nematode_larval_development;reproduction;regulation_of_vulval_development;oviposition;apical_plasma_membrane;regulation_of_cell_fate_specification;cell_cortex;aspartic-type_endopeptidase_activity;positive_regulation_of_cell_proliferation;positive_regulation_of_Notch_signaling_pathway;Notch_signaling_pathway;integral_component_of_plasma_membrane;negative_regulation_of_apoptotic_process;protein_processing;membrane_protein_ectodomain_proteolysis;endopeptidase_activity;Z_disc;Notch_receptor_processing;amyloid_precursor_protein_catabolic_process;beta-amyloid_metabolic_process;membrane;integral_component_of_membrane;Golgi_apparatus;endoplasmic_reticulum;cell_surface;axon;mitochondrial_inner_membrane;lysosomal_membrane;membrane_raft;neuromuscular_junction;growth_cone;ciliary_rootlet;dendritic_shaft
WBGene00001986	hot-1	Homolog_of_Odr-2_(Two)	protein_coding	V	14621141	14629387	+	F43D2.4a;F43D2.4b	14621141;14627281	14629387	179966	?	olfactory_behavior;response_to_odorant;extrinsic_component_of_plasma_membrane;axon;neuronal_cell_body
WBGene00001988	hot-3	Homolog_of_Odr-2_(Two)	protein_coding	II	13930525	13931997	-	W02B8.5	13930525	13931997	175044	NM_171050	olfactory_behavior;response_to_odorant;extrinsic_component_of_plasma_membrane;axon;neuronal_cell_body
WBGene00001989	hot-4	Homolog_of_Odr-2_(Two)	protein_coding	III	6220554	6224444	+	T12A2.16a;T12A2.16b	6220572;6220554	6224444	175881	NM_171874;NM_171155	?;olfactory_behavior;response_to_odorant;extrinsic_component_of_plasma_membrane;axon;neuronal_cell_body
WBGene00001990	hot-5	Homolog_of_Odr-2_(Two)	protein_coding	I	8683220	8687109	-	K07A12.6	8683220	8687109	172671	NM_059948	olfactory_behavior;response_to_odorant;extrinsic_component_of_plasma_membrane;axon;neuronal_cell_body
WBGene00001991	hot-6	Homolog_of_Odr-2_(Two)	protein_coding	V	11021062	11022874	-	C13G3.2	11021062	11022874	179525	NM_073405	integral_component_of_membrane;membrane
WBGene00001993	hpd-1	4-hydroxyphenylpyruvate_dioxygenase	protein_coding	III	10535526	10537683	+	T21C12.2	10535526	10537683	176473	NM_066923	metal_ion_binding;tyrosine_catabolic_process;L-phenylalanine_catabolic_process;4-hydroxyphenylpyruvate_dioxygenase_activity;oxidation-reduction_process;oxidoreductase_activity;endoplasmic_reticulum_membrane;Golgi_membrane;dioxygenase_activity;aromatic_amino_acid_family_metabolic_process;oxidoreductase_activity,_acting_on_single_donors_with_incorporation_of_molecular_oxygen
WBGene00001994	hpk-1	Homeodomain-interacting_protein_kinase_1	protein_coding	X	4210654	4217290	-	F20B6.8a;F20B6.8b;F20B6.8c.1;F20B6.8c.2	4210697;4210654;4211132	4214736;4217290;4214561;4216449	180695	NM_171663;NM_171664	?;ATP_binding;nucleus;multicellular_organism_development;protein_serine/threonine_kinase_activity;protein_kinase_activity;protein_phosphorylation;kinase_activity;phosphorylation;nucleotide_binding;transferase_activity;determination_of_adult_lifespan;response_to_heat;response_to_oxidative_stress
WBGene00001995	hpl-1	HP1_Like_(heterochromatin_protein)	protein_coding	X	13245390	13247044	+	K08H2.6	13245390	13247044	181450	?	gonad_development;nucleus;positive_regulation_of_growth_rate;nematode_larval_development;reproduction;negative_regulation_of_vulval_development;germ_cell_development;negative_regulation_of_Ras_protein_signal_transduction;enzyme_binding;regulation_of_cell_differentiation;nuclear_heterochromatin
WBGene00001996	hpl-2	HP1_Like_(heterochromatin_protein)	protein_coding	III	10752263	10755523	-	K01G5.2a;K01G5.2b;K01G5.2c	10753586;10752263;10752320	10755523	176506	NM_001027481;NM_001027482;NM_001027483	gonad_development;nucleus;positive_regulation_of_growth_rate;nematode_larval_development;reproduction;negative_regulation_of_vulval_development;condensed_chromosome;germ_cell_development;negative_regulation_of_Ras_protein_signal_transduction;nuclear_periphery;regulation_of_cell_differentiation;nuclear_heterochromatin;gene_silencing;regulation_of_oocyte_maturation;olfactory_learning;chromatin_binding
WBGene00001997	hpr-9	Homolog_of_S._Pombe_Rad	protein_coding	III	10621541	10626383	+	Y39A1A.23.1;Y39A1A.23.2	10621541;10621585	10626383	176483	NM_066941	DNA_repair;nucleic_acid_phosphodiester_bond_hydrolysis;3'-5'_exonuclease_activity;checkpoint_clamp_complex;intra-S_DNA_damage_checkpoint;DNA_replication_checkpoint;cellular_response_to_ionizing_radiation;DNA_damage_checkpoint
WBGene00001998	hpr-17	Homolog_of_S._Pombe_Rad	protein_coding	II	13153461	13157047	-	F32A11.2	13153461	13157047	174958	NM_064392	nucleus;cell_cycle;DNA_repair;chromatin_binding;nuclear_chromatin;mitotic_DNA_replication_checkpoint;DNA_clamp_loader_activity;DNA_damage_checkpoint
WBGene00001999	hrp-1	Heterogeneous_nuclear_ribonucleoprotein_A1	protein_coding	IV	3336924	3338867	-	F42A6.7a.1;F42A6.7a.2;F42A6.7b.1;F42A6.7b.2;F42A6.7b.3;F42A6.7b.4;F42A6.7c.1;F42A6.7c.2;F42A6.7c.3;F42A6.7c.4;F42A6.7d.1;F42A6.7d.2	3336924	3338544;3338867;3338623;3338833;3338863	177101	?	nucleus;hemidesmosome_assembly;RNA_binding;nucleotide_binding;intracellular_ribonucleoprotein_complex;mRNA_splicing,_via_spliceosome;chromosome,_telomeric_region;nucleic_acid_binding;chromosome
WBGene00002000	hrp-2	human_HnRNP_A1_homolog	protein_coding	I	12060276	12064897	-	F58D5.1a.1;F58D5.1a.2;F58D5.1b.1;F58D5.1b.2	12060276;12060306	12064897;12061729;12061710	173086	NM_060648	nucleus;nucleic_acid_binding;nucleotide_binding;RNA_binding
WBGene00002001	hars-1	Histidine--tRNA_ligase	protein_coding	IV	10858957	10861296	+	T11G6.1a.1;T11G6.1a.2;T11G6.1b.1;T11G6.1b.2	10858957;10859317	10861284;10861296	177978	NM_001028202;NM_001028203	?;ATP_binding;cytoplasm;negative_regulation_of_transcription_from_RNA_polymerase_II_promoter;mitochondrion;translation;nematode_larval_development;protein_homodimerization_activity;germ_cell_development;mitochondrial_translation;histidine-tRNA_ligase_activity;histidyl-tRNA_aminoacylation;aminoacyl-tRNA_ligase_activity;nucleotide_binding;ligase_activity
WBGene00002002	hsb-1	Heat_Shock_factor_Binding_protein	protein_coding	IV	12565993	12567228	-	K08E7.2.1;K08E7.2.2;K08E7.2.3;K08E7.2.4	12566095;12566128;12566092;12565993	12567228	178208	?	protein_binding;negative_regulation_of_nucleic_acid-templated_transcription;transcription_corepressor_activity
WBGene00002003	hse-5	D-glucuronyl_C5-epimerase	protein_coding	III	4345339	4350079	+	B0285.5	4345339	4350079	175562	NM_065475	integral_component_of_membrane;basement_membrane;plasma_membrane;positive_regulation_of_multicellular_organism_growth;regulation_of_cell_migration;heparan_sulfate_proteoglycan_biosynthetic_process,_enzymatic_modification;heparin_biosynthetic_process;heparosan-N-sulfate-glucuronate_5-epimerase_activity;membrane;extracellular_region;isomerase_activity;proteinaceous_extracellular_matrix;glycosaminoglycan_biosynthetic_process;heparan_sulfate_proteoglycan_biosynthetic_process;racemase_and_epimerase_activity,_acting_on_carbohydrates_and_derivatives
WBGene00002004	hsf-1	Heat_Shock_Factor	protein_coding	I	11953511	11961984	-	Y53C10A.12	11953511	11961984	173078	NM_060630	transcription_factor_activity,_sequence-specific_DNA_binding;nucleus;calmodulin_binding;response_to_heat;dauer_larval_development;determination_of_adult_lifespan;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;innate_immune_response;defense_response_to_Gram-negative_bacterium;response_to_topologically_incorrect_protein;nuclear_stress_granule;sequence-specific_double-stranded_DNA_binding;promoter-specific_chromatin_binding;sequence-specific_DNA_binding;regulation_of_transcription,_DNA-templated;DNA_binding;nematode_larval_development;transcription,_DNA-templated
WBGene00002005	hsp-1	Heat_shock_70_kDa_protein_A	protein_coding	IV	17278959	17281335	+	F26D10.3.1;F26D10.3.2	17278959	17281335;17281316	178507	NM_070667	ATP_binding;cytoplasm;nucleus;response_to_heat;determination_of_adult_lifespan;ATPase_activity;cytosol;retrograde_transport,_endosome_to_Golgi;nucleotide_binding;protein_binding
WBGene00002007	hsp-3	Heat_shock_70_kDa_protein_C	protein_coding	X	6089028	6092124	-	C15H9.6a.1;C15H9.6a.2;C15H9.6a.3;C15H9.6a.4;C15H9.6a.5;C15H9.6b.1;C15H9.6b.2;C15H9.6b.3	6089028;6089056;6089043	6091785;6092124;6091801;6090782	180880	NM_076618	ATP_binding;ATPase_activity;endoplasmic_reticulum_unfolded_protein_response;endoplasmic_reticulum_lumen;endoplasmic_reticulum_chaperone_complex;nucleotide_binding;endoplasmic_reticulum
WBGene00002008	hsp-4	Heat_shock_70_kDa_protein_D	protein_coding	II	7350119	7352636	-	F43E2.8a.1;F43E2.8a.2;F43E2.8b	7350119	7352518;7352636;7351329	174203	NM_063135;NM_001306541	ATP_binding;embryo_development_ending_in_birth_or_egg_hatching;endoplasmic_reticulum_unfolded_protein_response;endoplasmic_reticulum_lumen;endoplasmic_reticulum_chaperone_complex;RNA_polymerase_II_transcription_factor_binding;rough_endoplasmic_reticulum;nucleotide_binding;endoplasmic_reticulum
WBGene00002010	hsp-6	Heat_shock_70_kDa_protein_F,_mitochondrial	protein_coding	V	4824138	4826760	-	C37H5.8	4824138	4826760	178873	NM_071890	ATP_binding;mitochondrion;protein_folding;mitochondrial_unfolded_protein_response;nucleotide_binding;unfolded_protein_binding
WBGene00002011	hsp-12.2	Heat_shock_protein_Hsp-12.2	protein_coding	III	8138090	8139631	+	C14B9.1	8138090	8139631	176148	?	cytoplasm;heat_shock_protein_binding
WBGene00002012	hsp-12.3	Heat_Shock_Protein	protein_coding	IV	9444788	9445324	-	F38E11.1	9444788	9445324	177777	?	heat_shock_protein_binding
WBGene00002013	hsp-12.6	Heat_Shock_Protein	protein_coding	IV	9446385	9446980	-	F38E11.2	9446385	9446980	177778	NM_069267	identical_protein_binding;cytoplasm
WBGene00002016	hsp-16.2	Heat_shock_protein_Hsp-16.2	protein_coding	V	1804334	1804971	-	Y46H3A.3a;Y46H3A.3b	1804334	1804971	178659	NM_071106	cytoplasm;response_to_heat;unfolded_protein_binding
WBGene00002018	hsp-16.41	Heat_shock_protein_Hsp-16.41	protein_coding	V	1805233	1805875	+	Y46H3A.2	1805233	1805875	178660	NM_182316	response_to_heat;endoplasmic_reticulum_unfolded_protein_response;defense_response_to_Gram-negative_bacterium;unfolded_protein_binding
WBGene00002021	hsp-17	Heat_Shock_Protein	protein_coding	V	8384774	8385927	-	F52E1.7a;F52E1.7b	8384810;8384774	8385927;8385914	186113	NM_001028786;NM_001028787	?
WBGene00002023	hsp-25	Heat_Shock_Protein	protein_coding	X	6034092	6039496	-	C09B8.6a;C09B8.6b;C09B8.6c	6034092;6034507	6039496;6039236;6037696	180872	?	striated_muscle_dense_body;M_band
WBGene00002024	hsp-43	Heat_Shock_Protein	protein_coding	X	6233149	6235541	-	C14F11.5a;C14F11.5b	6233149;6233215	6235541	180895	NM_076644;NM_001129635	?
WBGene00002025	hsp-60	Chaperonin_homolog_Hsp-60,_mitochondrial	protein_coding	III	1619742	1625920	+	Y22D7AL.5a.1;Y22D7AL.5a.2;Y22D7AL.5b.1;Y22D7AL.5b.2;Y22D7AL.5c	1619750;1619742;1621425	1625920	175316	NM_065028	ATP_binding;embryo_development_ending_in_birth_or_egg_hatching;mitochondrion;nematode_larval_development;mitochondrion_organization;mitochondrial_matrix;transcription_factor_binding;mitochondrial_unfolded_protein_response;protein_refolding;nucleotide_binding;cytoplasm;protein_folding;cytosol;unfolded_protein_binding;chaperone-mediated_protein_folding;protein_binding_involved_in_protein_folding;'de_novo'_protein_folding;apoptotic_mitochondrial_changes;protein_import_into_mitochondrial_intermembrane_space
WBGene00002026	hsp-70	Heat_Shock_Protein	protein_coding	I	9320361	9322511	-	C12C8.1	9320361	9322511	172757	NM_060084	ATP_binding;response_to_heat;determination_of_adult_lifespan;endoplasmic_reticulum_unfolded_protein_response;nucleotide_binding;chaperonin-containing_T-complex
WBGene00002027	hsr-9	?	protein_coding	I	9626260	9630847	+	T05F1.6	9626260	9630847	3565010	NM_001026439	nucleus;positive_regulation_of_transcription_from_RNA_polymerase_II_promoter;DNA_damage_checkpoint;histone_binding;DNA_repair;cellular_response_to_DNA_damage_stimulus
WBGene00002028	hst-1	Bifunctional_heparan_sulfate_N-deacetylase/N-sulfotransferase_1_Heparan_sulfate_N-deacetylase_1_Heparan_sulfate_N-sulfotransferase_1	protein_coding	IV	8688273	8691513	-	F08B4.6	8688273	8691513	177675	NM_069090	integral_component_of_membrane;Golgi_membrane;hydrolase_activity;heparan_sulfate_proteoglycan_biosynthetic_process;heparin_biosynthetic_process;[heparan_sulfate]-glucosamine_N-sulfotransferase_activity;membrane;metabolic_process;transferase_activity;Golgi_apparatus;sulfotransferase_activity;catalytic_activity
WBGene00002029	hst-2	Heparan_sulfate_2-O-sulfotransferase_hst-2	protein_coding	X	11204109	11207091	-	C34F6.4	11204109	11207091	181309	NM_077470	integral_component_of_membrane;Golgi_apparatus;positive_regulation_of_multicellular_organism_growth;Golgi_membrane;regulation_of_cell_migration;heparan_sulfate_proteoglycan_biosynthetic_process,_enzymatic_modification;regulation_of_axon_guidance;heparan_sulfate_2-O-sulfotransferase_activity;membrane;transferase_activity;multicellular_organism_development;sulfotransferase_activity
WBGene00002031	hst-6	Heparan_SulphoTransferase	protein_coding	X	5275567	5278517	+	Y34B4A.3	5275567	5278517	189586	NM_076494	integral_component_of_membrane;positive_regulation_of_multicellular_organism_growth;heparan_sulfate_proteoglycan_biosynthetic_process,_enzymatic_modification;heparan_sulfate_6-O-sulfotransferase_activity;membrane;transferase_activity;sulfotransferase_activity
WBGene00002032	htp-1	Him-Three_Paralog	protein_coding	IV	5390190	5391557	-	F41H10.10	5390190	5391557	259571	NM_068398	lateral_element;regulation_of_centriole-centriole_cohesion
WBGene00002033	htp-2	Him-Three_Paralog	protein_coding	IV	6419507	6420901	+	Y73B6BL.2	6419507	6420901	177405	NM_068580	lateral_element;regulation_of_centriole-centriole_cohesion
WBGene00002034	htp-3	Him-Three_Paralog	protein_coding	I	4827072	4829796	+	F57C9.5	4827072	4829796	172099	NM_059057	condensed_chromosome;nuclear_chromatin;lateral_element;meiotic_DNA_double-strand_break_formation;synapsis
WBGene00002035	hum-1	Heavy_chain,_Unconventional_Myosin	protein_coding	I	8845807	8851118	-	F29D10.4	8845807	8851118	172698	NM_059992	ATP_binding;motor_activity;myosin_complex;nucleotide_binding
WBGene00002036	hum-2	Heavy_chain,_Unconventional_Myosin	protein_coding	V	9386154	9400068	+	F36D4.3a;F36D4.3b;F36D4.3c;F36D4.3e;F36D4.3f	9386154;9396499;9396474;9398313	9400068	179321	NM_073032;NM_001028715;NM_171505	ATP_binding;motor_activity;myosin_complex;nucleotide_binding;protein_binding
WBGene00002037	hum-4	Heavy_chain,_Unconventional_Myosin	protein_coding	X	11420471	11433524	-	F46C3.3a;F46C3.3b;F46C3.3c;F46C3.3d;F46C3.3e;F46C3.3f;F46C3.3g;F46C3.3h	11420471	11433524;11426029;11428599;11428150	181335	NM_001270228;NM_001270232;NM_001270231;NM_001270229;NM_001270230;NM_001307861;NM_001307862;NM_001307863	ATP_binding;calmodulin_binding;motor_activity;myosin_complex;cytoskeleton
WBGene00002038	hum-5	Heavy_chain,_Unconventional_Myosin	protein_coding	III	4029111	4036840	-	T02C12.1	4029111	4036840	175521	NM_065408	ATP_binding;motor_activity;myosin_complex;nucleotide_binding
WBGene00002039	hum-6	Unconventional_myosin_heavy_chain_6	protein_coding	X	2303082	2315398	+	T10H10.1	2303082	2315398	180539	NM_076019	ATP_binding;cytoplasm;motor_activity;signal_transduction;transcription_factor_binding;myosin_VI_complex;cytoskeleton;nucleotide_binding;actin_binding;myosin_complex
WBGene00002040	hum-7	Heavy_chain,_Unconventional_Myosin	protein_coding	I	585820	607571	-	F56A6.2a;F56A6.2b	585820	607571	171650	NM_001261951;NM_001261950	ATP_binding;metal_ion_binding;calmodulin_binding;intracellular_signal_transduction;myosin_complex;actin-myosin_filament_sliding;plus-end_directed_microfilament_motor_activity;nucleotide_binding;signal_transduction;motor_activity
WBGene00002041	hum-8	Heavy_chain,_Unconventional_Myosin	protein_coding	IV	429211	440544	-	Y66H1A.6a;Y66H1A.6b;Y66H1A.6c	429214;429211	440544	176872	NM_001028377;NM_001028378;NM_001307645	ATP_binding;motor_activity;myosin_complex;nucleotide_binding
WBGene00002042	hus-1	human_HUS1_related	protein_coding	I	3698024	3699300	+	H26D21.1	3698024	3699300	171939	NM_058802	nucleus;embryo_development_ending_in_birth_or_egg_hatching;determination_of_adult_lifespan;telomere_maintenance;chromosome_segregation;nucleolus;nucleotide-excision_repair;double-strand_break_repair_via_homologous_recombination;nuclear_chromatin;checkpoint_clamp_complex;intrinsic_apoptotic_signaling_pathway_in_response_to_DNA_damage;germ_cell_nucleus;mitotic_DNA_replication_checkpoint;site_of_double-strand_break;intra-S_DNA_damage_checkpoint;meiotic_DNA_integrity_checkpoint;protein_binding;DNA_damage_checkpoint
WBGene00002043	hyl-1	Ceramide_synthase_hyl-1	protein_coding	IV	8539123	8544379	+	C09G4.1a.1;C09G4.1a.2;C09G4.1b;C09G4.1c	8540602;8540554;8539123	8544379	177660	NM_069058;NM_001307101	integral_component_of_membrane;endoplasmic_reticulum;endoplasmic_reticulum_membrane;axon;regulation_of_locomotion;aging;ceramide_biosynthetic_process;sphingosine_N-acyltransferase_activity;membrane;transferase_activity;lipid_metabolic_process;sphingolipid_metabolic_process
WBGene00002044	hyl-2	Ceramide_synthase_hyl-2	protein_coding	X	4696785	4699461	-	K02G10.6	4696785	4699461	180743	?	integral_component_of_membrane;endoplasmic_reticulum;ceramide_biosynthetic_process;N-acyltransferase_activity;membrane;transferase_activity;lipid_metabolic_process;sphingolipid_metabolic_process
WBGene00002045	icd-1	Transcription_factor_BTF3_homolog	protein_coding	II	6587576	6588679	-	C56C10.8.1;C56C10.8.2	6587576	6588655;6588679	174090	?	transcription,_DNA-templated;nucleus;embryo_development_ending_in_birth_or_egg_hatching;mitochondrion;regulation_of_transcription,_DNA-templated;negative_regulation_of_apoptotic_process;protein_binding
WBGene00002046	icln-1	ICLN_(ICLn)_ion_channel_homolog	protein_coding	IV	9094547	9095655	-	C01F6.8a;C01F6.8b	9094547	9095653;9095655	177730	NM_001026116;NM_001026117	plasma_membrane;cytosol;chloride_transport;methylosome;spliceosomal_snRNP_assembly;pICln-Sm_protein_complex;cell_volume_homeostasis
WBGene00002047	icp-1	InCenP_homolog	protein_coding	I	2304470	2306816	-	Y39G10AR.13a;Y39G10AR.13b.1;Y39G10AR.13b.2	2304470	2306790;2306816;2306774	171788	NM_001306434;NM_058555	nucleus;kinetochore;chromosome;mitotic_cytokinesis;mitotic_nuclear_division;protein_serine/threonine_kinase_activator_activity;positive_regulation_of_protein_serine/threonine_kinase_activity;female_meiotic_division;nuclear_chromosome_segregation;positive_regulation_of_protein_kinase_activity;mitotic_metaphase_plate_congression;protein_kinase_activator_activity;mitotic_chromosome_movement_towards_spindle_pole;protein_binding;activation_of_protein_kinase_activity;mitotic_cell_cycle
WBGene00002048	ida-1	related_to_Islet_cell_Diabetes_Autoantigen	protein_coding	III	5755539	5765815	+	B0244.2	5755539	5765815	175807	NM_065844	integral_component_of_membrane;synapse;positive_regulation_of_neurotransmitter_secretion;transmembrane_receptor_protein_tyrosine_phosphatase_activity;dense_core_granule;exocytosis;trans-Golgi_network_transport_vesicle;membrane;protein_tyrosine_phosphatase_activity;phosphatase_activity;protein_dephosphorylation;dephosphorylation;peptidyl-tyrosine_dephosphorylation
WBGene00002050	ifa-1	Intermediate_filament_protein_ifa-1	protein_coding	X	11269897	11275482	+	F38B2.1a.1;F38B2.1a.2;F38B2.1b;F38B2.1c.1;F38B2.1c.2;F38B2.1c.3;F38B2.1d	11271184;11269897;11271553;11273270;11273081;11271248	11275482	181316	NM_171777;NM_001083295;NM_171778;NM_001270210	cytoplasm;structural_molecule_activity;intermediate_filament
WBGene00002051	ifa-3	Intermediate_filament_protein_ifa-3	protein_coding	X	16267257	16270056	-	F52E10.5	16267257	16270056	181699	NM_078248	cytoplasm;structural_molecule_activity;intermediate_filament
WBGene00002052	ifa-4	Intermediate_filament_protein_ifa-4	protein_coding	X	4912300	4915979	-	K05B2.3	4912300	4915979	180765	NM_076435	cytoplasm;structural_molecule_activity;intermediate_filament;protein_binding
WBGene00002053	ifb-1	Intermediate_filament_protein_ifb-1	protein_coding	II	5765618	5772076	+	F10C1.2a.1;F10C1.2a.2;F10C1.2b	5768945;5768891;5765618	5772076	173976	NM_062736;NM_062735	?;cytoplasm;structural_molecule_activity;apical_plasma_membrane;intermediate_filament;protein_binding
WBGene00002054	ifb-2	Intermediate_filament_protein_ifb-2	protein_coding	II	5750190	5754141	+	F10C1.7a;F10C1.7c;F10C1.7e	5750190	5754141	173973	NM_062732;NM_062733;NM_001306596	apical_cortex;structural_molecule_activity;intermediate_filament;terminal_web;cytoplasm;protein_binding
WBGene00002056	ifc-2	Intermediate_filament_protein_ifc-2	protein_coding	X	642161	654903	-	M6.1a;M6.1b;M6.1c;M6.1d	643146;642161;646066	654903;645724	180414	NM_171614;NM_171613;NM_001029643;NM_001270046	?;cytoplasm;desmosome;structural_molecule_activity;intermediate_filament
WBGene00002058	ifd-2	Intermediate_filament_protein_ifd-2	protein_coding	X	813852	815929	-	F25E2.4	813852	815929	180430	NM_075759	cytoplasm;structural_molecule_activity;intermediate_filament
WBGene00002059	ife-1	Eukaryotic_translation_initiation_factor_4E-1	protein_coding	III	13343442	13344616	+	F53A2.6a;F53A2.6b.1;F53A2.6b.2	13343442;13343824;13343574	13344616	176755	NM_001268267;NM_001268268	cytoplasm;oocyte_maturation;P_granule;translation_initiation_factor_activity;spermatid_development;RNA_binding;translational_initiation;translation;embryo_development_ending_in_birth_or_egg_hatching;RNA_7-methylguanosine_cap_binding;regulation_of_translation;RNA_trimethylguanosine_cap_binding;multicellular_organism_development;protein_binding;cell_differentiation;spermatogenesis
WBGene00002060	ife-2	Eukaryotic_translation_initiation_factor_4E-2	protein_coding	X	381381	382709	-	R04A9.4	381381	382709	180393	NM_075693	embryo_development_ending_in_birth_or_egg_hatching;RNA_7-methylguanosine_cap_binding;determination_of_adult_lifespan;RNA_trimethylguanosine_cap_binding;translation_initiation_factor_activity;cytoplasmic_stress_granule;positive_regulation_of_translation;RNA_binding;translational_initiation;cytoplasm;protein_binding;translation;regulation_of_translation;negative_regulation_of_response_to_oxidative_stress
WBGene00002061	ife-3	Eukaryotic_translation_initiation_factor_4E-3	protein_coding	V	6589	7822	-	B0348.6a.1;B0348.6a.2;B0348.6b.1;B0348.6b.2;B0348.6c.1;B0348.6c.2	6589	7822	178536	?;NM_070723;NM_070722;NM_171920	?;cytoplasm;embryo_development_ending_in_birth_or_egg_hatching;RNA_7-methylguanosine_cap_binding;regulation_of_translation;translation_initiation_factor_activity;RNA_binding;translational_initiation;protein_binding;translation
WBGene00002062	ife-4	Eukaryotic_translation_initiation_factor_4E-4	protein_coding	X	1104212	1106247	+	C05D9.5	1104212	1106247	180464	NM_075809	cytoplasm;RNA_7-methylguanosine_cap_binding;regulation_of_translation;translation_initiation_factor_activity;RNA_binding;translational_initiation;translation
